Kürzel;Beschreibung;wird gesetzt von:
WRWE;Widerspruchsbescheid erstellt (Jurist);Juristen
WRWJ;Widerspruchsbescheid QS juristisch erfolgt;Juristen
WRWQ;Widerspruchsbescheid QS durch PL erfolgt;QS
WRWZG;Widerspruchsbescheid ans BMWK;PA
WRWZG+;Freigabe durch BMWK;PA
WRWA;negativer Widerspruchsbescheid an ZE;PA
WRWZ;positiver Widerspruchsbescheid an ZE;PA
WRWD;Frist Klage Widerspruch;neutral
WME;Mitteilung Aussetzung/Beendigung Widerrufsverfahren erstellt;AB/FB
WMJ;Mitteilung Widerrufsverfahren juritische QS erfolgt;Juristen
WMA;Mitteilung Aussetzung Widerrufsverfahren an ZE;PA
WMZ;Mitteilung Beendigung Widerrufsverfahren an ZE;PA
VU;Teilvorhaben beendet;neutral
TVN;Termin Verwendungsnachweis;AB/FB
VBF;Fristverlängerung VN-Sach;AB/FB
VZF;Fristverlängerung VN-Zahl;AB/FB
VBE;Eingang VN-Sach;neutral
VZE;Eingang VN-Zahl;neutral
VN;Nachforderung/Rückfragen zum VN;AB/FB
VL;Eingang Nachlieferung zum VN;neutral
VPC;kaufm. Vorprüfung erfolgt;AB
VBT;VN-Sach geprüft;FB
MVP;Restmittel ausgebucht;AB
VZK;VN-Zahl geprüft;AB
VQK-;VN zurück an AB;QS
VQK;VN-Qualitätsicherung kaufm.;AB
VVZ;VN-Ergebnis an ZE;AB/QS
VRR;Termin Rückzahlung;neutral
VRM;Mahnung Rückzahlung;neutral
VRE;Eingang Rückzahlung inkl. Zinsen;neutral
VRAE;Aufrechnung erstellt;AB/FB
VRAJ;Aufrechnung juristische QS erfolgt;Juristen
VRAZ;Aufrechnung an ZE;PA
VRA;Verrechnung ist erfolgt;AB
AVK;Schlussvermerk vor Bewilligung vom AB signiert;AB
VVK;Schlussvermerk vom AB signiert;AB
VV;Schlussvermerk;QS
VAZ;Archivierungsdatum;PA
VAK;Akte im Keller;PA
VAR;Akte archiviert;PA
DLP;DL-Stichprobe positives Ergebnis;AB/FB
